entrant_level,campus,fall_term,count_category,ethnicity,n
freshman,Davis,2018,applicants,Pacific Islander,241
freshman,Davis,2019,applicants,Pacific Islander,220
freshman,Davis,2020,applicants,Pacific Islander,202
freshman,Davis,2021,applicants,Pacific Islander,259
freshman,Davis,2022,applicants,Pacific Islander,238
freshman,Davis,2023,applicants,Pacific Islander,257
freshman,Davis,2024,applicants,Pacific Islander,225
freshman,Davis,2025,applicants,Pacific Islander,242
freshman,Davis,2017,applicants,White,14399
freshman,Davis,2018,applicants,White,14797
freshman,Davis,2019,applicants,White,14360
freshman,Davis,2020,applicants,White,13693
freshman,Davis,2021,applicants,White,16505
freshman,Davis,2022,applicants,White,16975
freshman,Davis,2023,applicants,White,16699
freshman,Davis,2024,applicants,White,16675
freshman,Davis,2025,applicants,White,16660
freshman,Davis,2017,applicants,Unknown,1824
freshman,Davis,2018,applicants,Unknown,2208
freshman,Davis,2019,applicants,Unknown,1959
freshman,Davis,2020,applicants,Unknown,2308
freshman,Davis,2021,applicants,Unknown,2265
freshman,Davis,2022,applicants,Unknown,2379
freshman,Davis,2023,applicants,Unknown,2502
freshman,Davis,2024,applicants,Unknown,3403
freshman,Davis,2025,applicants,Unknown,3546
freshman,Davis,2017,applicants,International,13926
freshman,Davis,2018,applicants,International,15507
freshman,Davis,2019,applicants,International,16522
freshman,Davis,2020,applicants,International,15755
freshman,Davis,2021,applicants,International,16618
freshman,Davis,2022,applicants,International,18552
freshman,Davis,2023,applicants,International,18041
freshman,Davis,2024,applicants,International,18582
freshman,Davis,2025,applicants,International,20844
freshman,Davis,2017,admits,African American,895
freshman,Davis,2018,admits,African American,971
freshman,Davis,2019,admits,African American,962
freshman,Davis,2020,admits,African American,1050
freshman,Davis,2021,admits,African American,1536
freshman,Davis,2022,admits,African American,1174
freshman,Davis,2023,admits,African American,1327
freshman,Davis,2024,admits,African American,1468
freshman,Davis,2025,admits,African American,1526
freshman,Davis,2017,admits,American Indian,143
freshman,Davis,2018,admits,American Indian,134
freshman,Davis,2019,admits,American Indian,120
freshman,Davis,2020,admits,American Indian,138
freshman,Davis,2021,admits,American Indian,159
freshman,Davis,2022,admits,American Indian,168
freshman,Davis,2023,admits,American Indian,192
freshman,Davis,2024,admits,American Indian,212
freshman,Davis,2025,admits,American Indian,206
freshman,Davis,2017,admits,Asian,8832
freshman,Davis,2018,admits,Asian,9310
freshman,Davis,2019,admits,Asian,9635
freshman,Davis,2020,admits,Asian,11150
freshman,Davis,2021,admits,Asian,12805
freshman,Davis,2022,admits,Asian,12056
freshman,Davis,2023,admits,Asian,13254
freshman,Davis,2024,admits,Asian,13733
freshman,Davis,2025,admits,Asian,14967
freshman,Davis,2017,admits,Hispanic/Latino(a),5234
freshman,Davis,2018,admits,Hispanic/Latino(a),5616
freshman,Davis,2019,admits,Hispanic/Latino(a),5604
freshman,Davis,2020,admits,Hispanic/Latino(a),6124
freshman,Davis,2021,admits,Hispanic/Latino(a),7256
freshman,Davis,2022,admits,Hispanic/Latino(a),6273
freshman,Davis,2023,admits,Hispanic/Latino(a),7576
freshman,Davis,2024,admits,Hispanic/Latino(a),8132
freshman,Davis,2025,admits,Hispanic/Latino(a),7980
freshman,Davis,2017,admits,Pacific Islander,83
freshman,Davis,2018,admits,Pacific Islander,68
freshman,Davis,2019,admits,Pacific Islander,82
freshman,Davis,2020,admits,Pacific Islander,80
freshman,Davis,2021,admits,Pacific Islander,104
freshman,Davis,2022,admits,Pacific Islander,78
freshman,Davis,2023,admits,Pacific Islander,80
freshman,Davis,2024,admits,Pacific Islander,70
freshman,Davis,2025,admits,Pacific Islander,81
freshman,Davis,2017,admits,White,6417
freshman,Davis,2018,admits,White,6335
freshman,Davis,2019,admits,White,6225
freshman,Davis,2020,admits,White,6645
freshman,Davis,2021,admits,White,8329
freshman,Davis,2022,admits,White,6693
freshman,Davis,2023,admits,White,7015
freshman,Davis,2024,admits,White,6795
freshman,Davis,2025,admits,White,7503
freshman,Davis,2017,admits,Unknown,863
