county,fall_term,applicants,admits,enrollees,admit_rate,yield_rate
Solano,2010,570.0,491.0,224.0,0.8614035087719298,0.45621181262729127
Solano,2011,561.0,379.0,216.0,0.6755793226381461,0.5699208443271768
Solano,2012,595.0,375.0,241.0,0.6302521008403361,0.6426666666666667
Solano,2013,644.0,370.0,236.0,0.5745341614906833,0.6378378378378379
Solano,2014,629.0,379.0,234.0,0.6025437201907791,0.6174142480211082
Solano,2015,644.0,395.0,258.0,0.6133540372670807,0.6531645569620254
Solano,2016,654.0,435.0,275.0,0.6651376146788991,0.632183908045977
Solano,2017,699.0,435.0,268.0,0.6223175965665236,0.6160919540229886
Solano,2018,732.0,432.0,263.0,0.5901639344262295,0.6087962962962963
Solano,2019,674.0,405.0,245.0,0.6008902077151336,0.6049382716049383
Solano,2020,709.0,471.0,277.0,0.6643159379407616,0.5881104033970276
Solano,2021,701.0,449.0,236.0,0.6405135520684736,0.5256124721603563
Solano,2022,753.0,470.0,247.0,0.6241699867197875,0.5255319148936171
Solano,2023,733.0,461.0,241.0,0.6289222373806276,0.5227765726681128
Solano,2024,826.0,536.0,271.0,0.648910411622276,0.5055970149253731
Solano,2025,735.0,533.0,256.0,0.7251700680272108,0.4803001876172608
Sonoma,2005,688.0,630.0,335.0,0.9156976744186046,0.5317460317460317
Sonoma,2006,665.0,601.0,304.0,0.9037593984962407,0.5058236272878536
Sonoma,2007,696.0,629.0,291.0,0.9037356321839081,0.4626391096979332
Sonoma,2008,721.0,655.0,311.0,0.9084604715672677,0.47480916030534354
Sonoma,2009,669.0,593.0,271.0,0.8863976083707026,0.45699831365935917
Sonoma,2010,678.0,605.0,261.0,0.8923303834808259,0.43140495867768597
Sonoma,2011,614.0,453.0,233.0,0.737785016286645,0.5143487858719646
Sonoma,2012,674.0,486.0,255.0,0.7210682492581603,0.5246913580246914
Sonoma,2013,731.0,474.0,247.0,0.6484268125854993,0.5210970464135021
Sonoma,2014,700.0,440.0,229.0,0.6285714285714286,0.5204545454545455
Sonoma,2015,735.0,441.0,246.0,0.6,0.5578231292517006
Sonoma,2016,759.0,516.0,276.0,0.6798418972332015,0.5348837209302325
Sonoma,2017,831.0,475.0,244.0,0.5716004813477737,0.5136842105263157
Sonoma,2018,807.0,434.0,242.0,0.5377942998760843,0.5576036866359447
Sonoma,2019,778.0,443.0,225.0,0.5694087403598972,0.5079006772009029
Sonoma,2020,748.0,503.0,262.0,0.6724598930481284,0.5208747514910537
Sonoma,2021,880.0,568.0,291.0,0.6454545454545455,0.5123239436619719
Sonoma,2022,925.0,572.0,280.0,0.6183783783783784,0.48951048951048953
Sonoma,2023,916.0,610.0,297.0,0.665938864628821,0.48688524590163934
Sonoma,2024,876.0,563.0,267.0,0.6426940639269406,0.47424511545293074
Sonoma,2025,821.0,613.0,277.0,0.7466504263093788,0.45187601957585644
